street
Омеляновича-Павленка
No street name
Ованеса
Петропавлівська
Дніпровська
Саксаганського
Івана
Дніпровська
Ділова
Новодарницька
Ревуцького
Липківського
Бендукідзе
Введенська
Виноградний
Кайсарова
Ахматової
Радченка
Дніпровська
Ділова
Бориспільська
Болсуновська
Українки
Антонова
Омеляновича-Павленка
No street name
Ованеса
Петропавлівська
Дніпровська
Саксаганського
Івана
Дніпровська
Ділова
Новодарницька
Ревуцького
Липківського
Бендукідзе
Введенська
Виноградний
Кайсарова
Ахматової
Радченка
Дніпровська
Ділова
Бориспільська
Болсуновська
Українки
Антонова
Науки
Метрологічна
Дружби
No street name
Драгомирова
Данченка
Кримська
Новопольова
Туполєва
No street name
Дніпровська
Перемоги
Івана
Братиславська
No street name
Червоноткацька
Златоустівська
Бойченка
Трускавецька
Каховська
Лобановського
No street name
Курчатова
Голосіївська
Тираспольська
Лаврська
Правди
Миколайчука
Порика
Червоноткацька
Маккейна
Йорданська
Тютюнника
Регенераторна
Зарічна
Заболотного
Курнатовського
Інститутська
Маланюка
Гречка
Липківського
Маккейна
Григоренка
Коновальця
Закревського
No street name
Старонаводницька
Маланюка
Заньковецької
Кудрявська
No street name
Українки
No street name
Милославська
Донця
Верховинця
Героїв
Каховська
Каховська
Вишняківська
Липська
Сверстюка
Драгомирова
Причальна
Болсуновська
Повітрофлотський
Драгоманова
Григоренка
Дніпровська
Жабаєва
Філатова
Правди
Малопідвальна
Бойчука
Зарічна
Предславинська
Івана
Радченка
Лабораторний
Конєва
Шаповала
Дніпровська
Клеманська
Григоренка
Туполєва
Хмельницького
Саперне
Героїв
Дніпровська
Тарасівська
Краківська
Юнацька
Клеманська
Героїв
Драгомирова
No street name
Драгоманова
Українки
Тимошенка
Маяковського
Дмитрівська
Курбаса
Комарова
Драгоманова
Драгомирова
Моторний
Милославська
Бойчука
Закревського
Івана
Філатова
Перемоги
Миропільська
Григоренка
Юнацька
Вишгородська
Жолудєва
Павлівська
Голосіївський
Осокорська
Вишгородська
Драгомирова
Тютюнника
Маккейна
Івана
Героїв
Липківського
No street name
Коновальця
Максимовича
Зарічна
Голосіївська
Ясинуватський
No street name
Колоса
Правди
Велика
Голосіївський
No street name
Бойчука
Центральна
Ясинуватський
Райдужна
Ломоносова
No street name
No street name
Гусовського
Окіпної
Багговутівська
Дружби
Маккейна
Маланюка
Михайла
Героїв
Маланюка
Саперне
Балтійський
Кудрявська
Перемоги
Німанська
Каховська
Малопідвальна
Невська
Златоустівська
No street name
Берковецька
Бажана
Антоновича
No street name
Гречка
Микільсько-Слобідська
Правди
Тимошенка
Павла
Олевська
Освіти
Іллєнка
Дніпровська
Івана
Українки
Данченка
Драгомирова
Тбіліський
Каховська
Ушинського
Урлівська
Світлицького
Дніпровська
Липківського
Микільсько-Слобідська
Лобановського
Героїв
Дніпровська
Драгоманова
Ахматової
Саперне
Данченка
Голосіївський
No street name
Глибочицька
Багговутівська
Саксаганського
Моторний
Йорданська
Саперне
Вернадського
Курбаса
Багговутівська
Набережно-Рибальська
Саксаганського
Малиновського
Протасів
Німанська
Підвисоцького
Зодчих
Рокосовського
Шовковична
Крушельницької
Новопольова
Визволителів
Сонячна
Сікорського
Радченка
Бульварно-Кудрявська
Кайсарова
Дніпровська
Перова
Глушкова
Рокосовського
Саперно-Слобідська
Миколи
Миколи
Антоновича
Богданівська
No street name
Сверстюка
Ревуцького
Ованеса
Саперне
Григоренка
Гречка
Богатирська
Білоруська
Регенераторна
Вишняківська
Гонгадзе
Правди
Кольцова
Воскресенська
Руставелі
Голосіївський
Комбінатна
Салютна
Маланюка
Ромоданова
Саперне
Сім’ї
Лабораторна
Драгоманова
No street name
Кудрявська
Краківська
Кольцова
Антоновича
Лариси
Івана
Українки
Тютюнника
Юрія
Оболонський
Курбаса
Верховинця
Зарічна
Дніпровська
Коломийський
Правди
Каховська
Бойчука
Правди
Маккейна
Перемоги
Грушевського
Срібнокільська
Перемоги
Урлівська
Заболотного
Максимовича
Бажана
Сікорського
Курбаса
Дніпровська
Драгомирова
No street name
Антонова
Бучми
Кубанської
Дніпровська
Панельна
Коновальця
Богатирська
Оболонський
Українки
Бориса
Правди
Центральна
Преображенська
Коновальця
Українки
No street name
Велика
Липківського
Бойчука
Васильківська
Данькевича
Богатирська
Українки
Гречка
Редутна
Бориса
Драгомирова
Туполєва
Кондратюка
Мінський
Княжий
Герцена
Балтійський
Ернста
Шаповала
Городецького
Сім'ї
Івана
Червоноткацька
No street name
Голосіївська
No street name
Миколи
Івана
Саперне
Миколи
Паторжинського
Наумовича
Калнишевського
Дніпровська
Електриків
Солом'янська
Шевченка
Озерна
Григоренка
Антонова
Голосіївський
Комарова
Борщагівська
Шевченка
Максимовича
Ковальський
Малевича
Мічуріна
No street name
Балтійський
Азербайджанська
Зарічна
Чавдар
Правди
Урлівська
Бориспільська
Поправки
Бориспільська
Ентузіастів
Малоземельна
Саксаганського
Героїв
Зодчих
Калнишевського
Філатова
Старонаводницька
Заболотного
Правди
No street name
Антоновича
Шаповала
Івана
Деревлянська
Вільямса
Васильченка
Предславинська
Крайня
Милославська
Воскресенська
Маланюка
Дніпровська
Пушкінська
Набережно-Корчуватська
Зарічна
Тургенєвська
Радченка
Зарічна
Метрологічна
Йорданська
Кольцова
Максимовича
Науки
Саперно-Слобідська
Шовковична
Трускавецька
Гавела
Повітрофлотський
Запорожця
Маккейна
Перемоги
Щербаківського
Зарічна
Будищанська
Жилянська
Комбінатна
Ревуцького
Бородіна
Руставелі
Драгоманова
Преображенська
Депутатська
Багговутівська
No street name
Сікорського
Драгомирова
Коперніка
Васильківська
Глибочицька
Чавдар
Шовковична
Дніпровська
Антоновича
No street name
Славгородська
Драгомирова
Срібнокільська
Харченка
Окіпної
Саперне
Олени
Кондратюка
Мечнікова
Героїв
Рибальська
Березова
Саперне
Антоновича
Маккейна
Лейпцизька
Драгоманова
Коновальця
Василя
Тютюнника
Січових
Райдужна
Закревського
Тургенєвська
Васильківська
Зої
Радченка
Сверстюка
Милославська
Метрологічна
Деміївська
Перемоги
Вишгородська
Маккейна
No street name
Перемоги
Балтійський
Звіринецька
Ревуцького
Правди
Милославська
Вербицького
Новгородська
Бажана
Канівська
Максимовича
Донця
Драгомирова
Тираспольська
Саксаганського
Тираспольська
Зарічна
Гонгадзе
Українки
Світлицького
Воробйова
Каховська
Глибочицька
Білокур
Балтійський
Антоновича
Кондратюка
Гончара
Ревуцького
No street name
Драгоманова
Сім’ї
Панельна
Вільямса
Голосіївська
Оболонський
Миколи
Дніпровська
Малиновського
Назарівська
Гоголівська
Дорогожицька
Петропавлівська
Грушевського
Іллєнка
Липківського
Ушинського
Польова
Саперне
Панельна
Коновальця
Хмельницького
Маккейна
Антоновича
Толстого
Дружби
Оболонський
Багговутівська
Антонова
Володимирська
Українки
Сім’ї
Коновальця
Мирного
Московська
Жмеринська
Бойчука
Липківського
Лабораторний
Інститутська
Українки
Хрещатик
Дніпровська
Осокорська
Саперне
Комарова
Драгомирова
Срібнокільська
Чоколівський
Звіринецька
Вишгородська
Драгомирова
Героїв
Будівельників
Іллєнка
Урлівська
Сормовська
Правди
Верховинна
Вербицького
No street name
Велика
Бойчука
Лобановського
Миколи
Кропивницького
Трускавецька
Голосіївська
Маланюка
Драгомирова
Юнацька
Максимовича
Комарова
Багговутівська
No street name
Костанайська
Срібнокільська
Курчатова
Гусовського
Українки
Драгоманова
Дніпровська
Заболотного
Заболотного
Перемоги
Сверстюка
Липківського
Маккейна
Дніпровська
Волгоградська
Новопольова
Драгоманова
Лебедєва
No street name
Драгомирова
Лейпцизька
Глибочицька
Салютна
Метрологічна
Північно-Сирецька
Правди
Вернадського
Пчілки
Лейпцизька
Басейна
Шаповала
Бережанська
Бойчука
Перемоги
Івана
Антоновича
Вільямса
Бойчука
Перемоги
Ковпака
Русанівський
Українки
Празька
Гончара
Маккейна
Балтійський
Білоруська
Драгоманова
Липківського
Новогоспітальна
Радченка
Богомольця
Донця
Оболонський
Щекавицька
Пожарського
Полкова
Донця
Палладіна
Бойчука
Липківського
Павлівська
Івашкевича
Іскрівська
Максимовича
No street name
Драгомирова
Теремківська
Осокорська
Дмитрівська
Кондратюка
Регенераторна
No street name
Глибочицька
Героїв
Борщагівська
Ревуцького
Юнацька
Заболотного
Автозаводська
Заболотного
Саксаганського
Зарічна
No street name
Невська
Героїв
Вишняківська
Драгомирова
Драгомирова
Гавела
Здолбунівська
Драгомирова
Мечнікова
No street name
Максимовича
Багговутівська
Шолуденка
Щекавицька
Коласа
No street name
No street name
Перемоги
No street name
Наумова
Перемоги
Велика
Червоноткацька
Вишгородська
